Duration in months,Credit history,Purpose,Credit amount,Present employment since,Installment Rate,Gender,Marital Status,Present resident since,Property,Age,Housing,Employment,Credit Risk
6,No credits existing,Radio/Television,1169,>= 7 year,4,Male,Single,4,Real estate,67,Own,Skilled,1
48,Existing credits paid back duly,Radio/Television,5951,< 4 year,2,Female,Unknown,2,Real estate,22,Own,Skilled,0
12,No credits existing,Education,2096,< 7 year,2,Male,Single,3,Real estate,49,Own,Unskilled resident,1
42,Existing credits paid back duly,Furniture,7882,< 7 year,2,Male,Single,4,Life Insurance,45,Free,Skilled,1
24,Delay in paying off,Car,4870,< 4 year,3,Male,Single,4,No property,53,Free,Skilled,0
36,Existing credits paid back duly,Education,9055,< 4 year,2,Male,Single,4,No property,35,Free,Unskilled resident,1
24,Existing credits paid back duly,Furniture,2835,>= 7 year,3,Male,Single,4,Life Insurance,53,Own,Skilled,1
36,Existing credits paid back duly,Car,6948,< 4 year,2,Male,Single,2,Car or other property,35,Rent,Self-employed,1
12,Existing credits paid back duly,Radio/Television,3059,< 7 year,2,Male,Divorced,4,Real estate,61,Own,Unskilled resident,1
30,No credits existing,Car,5234,Unemployed,4,Male,Married,2,Car or other property,28,Own,Self-employed,0
12,Existing credits paid back duly,Car,1295,< 1 year,3,Female,Unknown,1,Car or other property,25,Rent,Skilled,0
48,Existing credits paid back duly,Business,4308,< 1 year,3,Female,Unknown,4,Life Insurance,24,Rent,Skilled,0
12,Existing credits paid back duly,Radio/Television,1567,< 4 year,1,Female,Unknown,1,Car or other property,22,Own,Skilled,1
24,No credits existing,Car,1199,>= 7 year,4,Male,Single,4,Car or other property,60,Own,Unskilled resident,0
15,Existing credits paid back duly,Car,1403,< 4 year,2,Female,Unknown,4,Car or other property,28,Rent,Skilled,1
24,Existing credits paid back duly,Radio/Television,1282,< 4 year,4,Female,Unknown,2,Car or other property,32,Own,Unskilled resident,0
24,No credits existing,Radio/Television,2424,>= 7 year,4,Male,Single,4,Life Insurance,53,Own,Skilled,1
30,No credits taken,Business,8072,< 1 year,2,Male,Single,3,Car or other property,25,Own,Skilled,1
24,Existing credits paid back duly,Car,12579,>= 7 year,4,Female,Unknown,2,No property,44,Free,Self-employed,0
24,Existing credits paid back duly,Radio/Television,3430,>= 7 year,3,Male,Single,2,Car or other property,31,Own,Skilled,1
9,No credits existing,Car,2134,< 4 year,4,Male,Single,4,Car or other property,48,Own,Skilled,1
6,Existing credits paid back duly,Radio/Television,2647,< 4 year,2,Male,Single,3,Real estate,44,Rent,Skilled,1
10,No credits existing,Car,2241,< 1 year,1,Male,Single,3,Real estate,48,Rent,Unskilled resident,1
12,No credits existing,Car,1804,< 1 year,3,Male,Single,4,Life Insurance,44,Own,Skilled,1
10,No credits existing,Furniture,2069,< 4 year,2,Male,Married,1,Car or other property,26,Own,Skilled,1
6,Existing credits paid back duly,Furniture,1374,< 4 year,1,Male,Single,2,Real estate,36,Own,Unskilled resident,1
6,No credits taken,Radio/Television,426,>= 7 year,4,Male,Married,4,Car or other property,39,Own,Unskilled resident,1
12,Credits paid back duly,Radio/Television,409,< 4 year,3,Female,Unknown,3,Real estate,42,Rent,Skilled,1
7,Existing credits paid back duly,Radio/Television,2415,< 4 year,3,Male,Single,2,Real estate,34,Own,Skilled,1
60,Delay in paying off,Business,6836,>= 7 year,3,Male,Single,4,No property,63,Own,Skilled,0
18,Existing credits paid back duly,Business,1913,< 1 year,3,Male,Married,3,Real estate,36,Own,Skilled,1
24,Existing credits paid back duly,Furniture,4020,< 4 year,2,Male,Single,2,Car or other property,27,Own,Skilled,1
